Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0925505753581464,0.0774378875267919,0.0428958855617279,0,0,0,3.22961622771048,0.00580312787317249,1.93643410745568E-06,7.56620702229478E-07,0.00722042643267808,3.86677335720296E-07,0.0125136556433196,0,0,0,0,0,0,package://model20/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model20/meshes/base_link.STL,,1. E-baseline-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_front_wheel_suspension,-0.00786753377996494,-0.0155948984609842,0.0232556468762561,0,0,0,0.0651133753252895,1.48802654908116E-05,1.64845451975805E-08,-1.56420031463122E-07,1.75245555055195E-05,-2.96403540336108E-09,8.01010024686586E-06,0,0,0,0,0,0,package://model20/meshes/left_front_wheel_suspension.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model20/meshes/left_front_wheel_suspension.STL,,3.Suspension_L-1,Origin_left_front_wheel_suspension_joint2,Axis_left_front_wheel_suspension_joint2,left_front_wheel_suspension_joint,prismatic,-0.019999,0.15549,-0.030998,1.5708,0,-1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
left_front_wheel,0.0158399891826274,-4.59981459866032E-09,7.99690621500204E-08,0,0,0,0.22822169800504,0.000789211576324214,-1.09995507949862E-10,1.91230261060087E-09,0.000410429434291453,-5.55677330321344E-16,0.000410429434301075,0,0,0,0,0,0,package://model20/meshes/left_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/left_front_wheel.STL,,Wheel_3dprintABS-1,Origin_left_front_wheel_joint2,Axis_left_front_wheel_joint2,left_front_wheel_joint,continuous,-0.01976,-0.021787,0.0099999,3.0841,0,3.1416,left_front_wheel_suspension,1,0,0,3.1,7,,,,,,,,,,
right_front_wheel_suspension,-0.00415434378457435,-0.0156302499401892,0.0232556866612721,0,0,0,0.0651133753251555,1.48802639086072E-05,1.64845302056301E-08,1.56454773175217E-07,1.75245555054544E-05,2.9641187651021E-09,8.01010182899686E-06,0,0,0,0,0,0,package://model20/meshes/right_front_wheel_suspension.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model20/meshes/right_front_wheel_suspension.STL,,2.Suspension_R-1,Origin_right_front_wheel_suspension_joint2,Axis_right_front_wheel_suspension_joint2,right_front_wheel_suspension_joint,prismatic,-0.019999,-0.014509,-0.030998,1.5708,0,-1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
right_front_wheel,0.015839199018542,1.11022302462516E-16,0,0,0,0,0.22822169800504,0.000789211576333899,-3.39931873462569E-20,5.22971288940966E-21,0.000410429434291421,-3.86247023947961E-19,0.000410429434291419,0,0,0,0,0,0,package://model20/meshes/right_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/right_front_wheel.STL,,Wheel_3dprintABS-3,Origin_right_front_wheel_joint2,Axis_right_front_wheel_joint2,right_front_wheel_joint,continuous,0.0077391,-0.021785,0.01,0.1626,0,0,right_front_wheel_suspension,1,0,0,3.1,7,,,,,,,,,,
camera,0.000445525429401739,-1.1063488044194E-05,0.00129821842499728,0,0,0,0.0436119955028422,2.35707059694687E-05,-1.01847086177712E-09,2.17583930111272E-08,4.29479039927907E-06,-8.85046657821771E-10,2.21058152194316E-05,0,0,0,0,0,0,package://model20/meshes/camera.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model20/meshes/camera.STL,,Webcam_C920 - 복사본-6,Origin_cam,,camera,fixed,0.0043645,0.076511,0.089,0,0.40143,0,base_link,0,0,0,,,,,,,,,,,,
camera2,0.000445525266833613,-1.10639236487325E-05,0.00129821764747488,0,0,0,0.0436119958611832,2.35707063464805E-05,-1.01836626404882E-09,2.17587007085046E-08,4.29479063311557E-06,-8.85041666160268E-10,2.21058153836914E-05,0,0,0,0,0,0,package://model20/meshes/camera2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model20/meshes/camera2.STL,,Webcam_C920 - 복사본-5,Origin_cam2,,camera2,fixed,0.00072751,0.076511,0.15475,0,0.17453,0,base_link,0,0,0,,,,,,,,,,,,
lidar,-0.00868778989367713,-0.00242014065569161,-0.0287648859064543,0,0,0,0.0730845706123876,1.9580875609635E-05,-1.03933750344926E-07,4.28391241039135E-07,2.41250086763081E-05,-9.42709906914264E-09,4.1418452244397E-05,0,0,0,0,0,0,package://model20/meshes/lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model20/meshes/lidar.STL,,RPLidar-1,Origin_lidar_joint,,lidar_joint,fixed,-0.064259,0.068705,0.2235,0,0,0,base_link,0,0,0,,,,,,,,,,,,
imu,0,0,0.00250000000000003,0,0,0,0.000510000000000001,5.31250000000002E-09,-7.37257477290141E-26,-1.63867682737907E-40,5.31250000000002E-09,-5.52943107967612E-26,8.50000000000004E-09,0,0,0,0,0,0,package://model20/meshes/imu.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/imu.STL,,imu-1,Origin_imu2,,imu,fixed,-0.095,0.11775,0.17,0,0,0,base_link,0,0,0,,,,,,,,,,,,
left_rear_wheel_suspension,0,-0.005,1.11022302462516E-16,0,0,0,0.00774637194071073,3.9707044697232E-07,-2.59626609761759E-23,1.7265241970474E-23,6.65034694932794E-07,-4.68375338513748E-24,3.97070446972319E-07,0,0,0,0,0,0,package://model20/meshes/left_rear_wheel_suspension.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://model20/meshes/left_rear_wheel_suspension.STL,,suspension3-2,Origin_left_rear_wheel_suspension_joint3,Axis_left_rear_wheel_suspension_joint2,left_rear_wheel_suspension_joint,continuous,-0.293,0.1615,-0.030998,1.5708,0,-1.5708,base_link,0,1,0,,,,,,,,,,,,
left_rear_wheel,0,-0.0404395006329032,0,0,0,0,0.342512288692214,0.000165711359519627,9.81734839423475E-22,6.2469123454979E-21,0.00011406556894596,3.87223575174732E-21,0.000165711359519627,0,0,0,0,0,0,package://model20/meshes/left_rear_wheel.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://model20/meshes/left_rear_wheel.STL,,ball_sus-2,Origin_left_rear_wheel_joint3,,left_rear_wheel_joint,fixed,0,-0.019516,0,0,0,0,left_rear_wheel_suspension,0,0,0,,,,,,,,,,,,
right_rear_wheel_suspension,0,-0.005,-1.11022302462516E-16,0,0,0,0.00774637194071073,3.9707044697232E-07,-2.59626609761758E-23,5.84249445698131E-24,6.65034694932794E-07,-4.68375338513718E-24,3.97070446972319E-07,0,0,0,0,0,0,package://model20/meshes/right_rear_wheel_suspension.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://model20/meshes/right_rear_wheel_suspension.STL,,suspension3-3,Origin_right_rear_wheel_suspension_joint3,Axis_right_rear_wheel_suspension_joint2,right_rear_wheel_suspension_joint,continuous,-0.293,-0.0084978,-0.030998,1.5708,0,-1.5708,base_link,0,1,0,,,,,,,,,,,,
right_rear_wheel,0,-0.0404395006329033,0,0,0,0,0.342512288692214,0.000165711359519628,-5.41262773559375E-22,4.24561514707314E-21,0.00011406556894596,2.94451414291141E-21,0.000165711359519628,0,0,0,0,0,0,package://model20/meshes/right_rear_wheel.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://model20/meshes/right_rear_wheel.STL,,ball_sus-3,Origin_right_rear_wheel_joint3,,right_rear_wheel_joint,fixed,0,-0.019516,0,0,0,0,right_rear_wheel_suspension,0,0,0,,,,,,,,,,,,
